Resource,Label
b4c18c2b-fc87-e5ac-7eea-5cabdf34df0b,OVER-A19-E
1ec18c2b-fc69-acbc-1a40-b321d6c6be39,OVER-A19-G
6cc18c2b-fc46-ff04-64fc-27c29618c730,OVER-A19-H
1ac18c2b-fc9a-4be4-9556-75f39b19cbad,OVER-A19-J
62bd57cd-4056-bc70-39de-0a23e4045509,OVER-A2-A
1ebd57cd-4098-901f-a3d5-799447bfa9b3,OVER-A2-B
88bd57cd-3f9d-86b1-79f4-7f40a5dc1b19,OVER-A2-C
36c18c2b-e932-6fab-ac4e-e553ac93aa76,OVER-A2-D
eec18c2b-ea80-c151-8af3-1d85a8e5bad0,OVER-A2-E
60c18c2b-e9cc-7a2d-25f6-d7a47335b1be,OVER-A2-G
e0c18c2b-dfb7-8088-fa80-27545f22725c,OVER-A2-H
26c18c2b-df79-9dba-e845-cb91e9265d04,OVER-A2-J
92bd57cd-431d-3817-6620-6ff84deeb905,OVER-A20-A
68bd57cd-435f-f9a5-9453-9f895a59e016,OVER-A20-B
06bd57cd-43a0-e62c-7ad6-d7f9407f5f36,OVER-A20-C
26c18c2b-fcfe-2b03-2fe6-71642ffb0271,OVER-A20-D
dec18c2b-fe37-0b14-9a12-37b838d10153,OVER-A20-E
4cc18c2b-fe1e-a023-9a42-299871745900,OVER-A20-G
7ec18c2b-fe21-99df-2416-df20d21b1bc5,OVER-A20-H
f6c18c2b-fdfd-9655-5b22-41053ca76d21,OVER-A20-J
e2bd57cd-42af-120f-7578-5ad1a645a787,OVER-A21-A
eebd57cd-42f2-98ef-61db-31dd0d27dda9,OVER-A21-B
78bd57cd-432f-b52a-d74b-3c87eaa94978,OVER-A21-C
78c18c2b-fe45-9e64-6e65-ded2de74bdff,OVER-A21-D
5cc18c2b-ffa4-40ed-3b5d-e06579048805,OVER-A21-E
72c18c2c-0009-259a-5775-eadf47d369ba,OVER-A21-G
24c18c2b-ffcc-f719-fef8-5b6c2f66fb37,OVER-A21-H
48c18c2b-fff2-0924-2c11-5bb44089391d,OVER-A21-J
d2bd57cd-436e-1514-f290-8015e39e0224,OVER-A22-A
84bd57cd-43ba-8a5a-9d5b-d31a60d9b75e,OVER-A22-B
5ebd57cd-42c3-c3e2-b21c-78c037209b16,OVER-A22-C
dac18c2c-0015-c354-c60e-558d3538e718,OVER-A22-D
00c18c2c-0163-641f-b5e1-7a43ee7eba3f,OVER-A22-E
e8c18c2c-0175-40f3-8bc6-e0028ad048b6,OVER-A22-G
84c18c2c-01b7-242d-c4b9-5d3436867812,OVER-A22-H
c0c18c2c-01a6-38df-f577-8b9d448a3b0f,OVER-A22-J
84bd57cd-4319-be79-dd6e-701606c8db81,OVER-A23-A
0ebd57cd-4362-8002-f056-166a7316e003,OVER-A23-B
74bd57cd-43a5-7419-4db3-6cb205066ffb,OVER-A23-C
b6c18c2c-01c1-3a4e-c6d1-4acdfbcc7c60,OVER-A23-D
94c18c2c-02e7-b56d-e06c-d9006479298c,OVER-A23-E
d2c18c2c-0356-58c2-90e7-4a569b2dbce2,OVER-A23-G
dcc18c2c-03a5-2fec-32b9-2f538adc8294,OVER-A23-H
80c18c2c-0339-ae93-6c4b-8d6497d513e4,OVER-A23-J
